EmployeeKey,ParentEmployeeKey,FirstName,LastName,MiddleName,Title,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status,ETLLoadID,LoadDate,UpdateDate
1,18,Kim,Abercrombie,NULL,Sales Region Manager,31-07-1996,15-05-1972,guy1@contoso.com,320-555-0195,M,Hazem Abolrous,320-555-0195,0,M,2,72.45,40,1,0,Production,31-07-1996,,Current,19960731,7/31/1996,7/31/1996
2,18,Sagiv,Hadaya,NULL,Sales Region Manager,26-02-1997,03-06-1977,kevin0@contoso.com,150-555-0189,S,Kevin Cook,150-555-0189,0,M,2,72.45,40,1,0,Marketing,26-02-1997,,Current,19970226,2/26/1997,2/26/1997
3,18,Luka,Abrus,NULL,Sales Region Manager,12-12-1997,13-12-1964,roberto0@contoso.com,212-555-0187,M,Ahmad Abu-Dayah,212-555-0187,1,M,2,72.45,40,1,0,Engineering,12-12-1997,,Current,19971212,12/12/1997,12/12/1997
4,18,Kirk,Nason,J.,Sales Region Manager,05-01-1998,23-01-1965,KirkNason@contoso.com,612-555-0100,S,Mrina Natarajan,612-555-0100,0,M,2,72.45,40,1,0,Tool Design,05-01-1998,30-06-2000,NULL,20000630,1/5/1998,6/30/2000
5,18,Humberto,Acevedo,NULL,Sales Region Manager,05-01-1998,23-01-1965,Humberto@contoso.com,612-555-0100,S,Gustavo Achong,612-555-0100,0,M,2,72.45,40,1,0,Tool Design,30-06-2000,,Current,20000630,6/30/2000,6/30/2000
6,1,Yoichiro,Okada,NULL,Sales State Manager,11-01-1998,29-08-1949,thierry0@contoso.com,168-555-0183,M,Gerwald Oberleitner,168-555-0183,0,M,2,55,40,1,0,Tool Design,11-01-1998,,Current,19980111,1/11/1998,1/11/1998
7,2,Pilar,Ackerman,NULL,Sales State Manager,20-01-1998,19-04-1965,PilarAckerman@contoso.com,913-555-0172,S,Gudmundur Adalsteinsson,913-555-0172,1,M,2,55,40,1,0,Marketing,20-01-1998,15-08-1999,NULL,19990815,1/20/1998,8/15/1999
8,3,Aaron,Painter,M.,Sales State Manager,20-01-1998,19-04-1965,AaronPainter@contoso.com,913-555-0172,S,Dominik Paiha,913-555-0172,1,M,2,55,40,1,0,Marketing,16-08-1999,,Current,19990816,8/16/1999,8/16/1999
9,4,Terry,Adams,NULL,Sales State Manager,26-01-1998,16-02-1946,jolynn0@contoso.com,903-555-0145,S,Michael Affronti,903-555-0145,0,F,2,55,40,1,0,Production,26-01-1998,,Current,19980126,1/26/1998,1/26/1998
10,5,David,Probst,NULL,Sales State Manager,06-02-1998,06-07-1946,ruth0@contoso.com,145-555-0130,M,Jim Ptaszynski,145-555-0130,0,F,2,55,40,1,0,Production,06-02-1998,,Current,19980206,2/6/1998,2/6/1998
11,1,Manoj,Agarwal,NULL,Sales State Manager,06-02-1998,29-10-1942,gail0@contoso.com,849-555-0139,M,Nupur Agarwal,849-555-0139,1,F,2,55,40,1,0,Engineering,06-02-1998,,Current,19980206,2/6/1998,2/6/1998
12,2,Michael,Raheem,NULL,Sales State Manager,07-02-1998,27-04-1946,barry0@contoso.com,206-555-0180,S,Amritansh Raghav,206-555-0180,0,M,2,55,40,1,0,Production,07-02-1998,,Current,19980207,2/7/1998,2/7/1998
13,3,David,Ahs,NULL,Sales State Manager,24-02-1998,11-04-1949,jossef0@contoso.com,122-555-0189,M,Hatim Aiad,122-555-0189,1,M,2,55,40,1,0,Engineering,24-02-1998,,Current,19980224,2/24/1998,2/24/1998
14,8,Miguel,Saenz,NULL,Sales Store Manager,03-03-1998,01-09-1961,terri0@contoso.com,819-555-0175,S,Peter Saddow,819-555-0175,1,F,2,25,40,1,0,Engineering,03-03-1998,,Current,19980303,3/3/1998,3/3/1998
15,9,Kim,Akers,NULL,Sales Store Manager,05-03-1998,01-10-1946,sidney0@contoso.com,424-555-0189,M,Cigdem Akin,424-555-0189,0,M,2,25,40,1,0,Production,05-03-1998,,Current,19980305,3/5/1998,3/5/1998
16,1,Kate,Taneyhill,NULL,Sales State Manager,11-03-1998,03-05-1946,taylor0@contoso.com,508-555-0165,M,Roberto Tamburello,508-555-0165,0,M,2,55,40,1,0,Production,11-03-1998,,Current,19980311,3/11/1998,3/11/1998
17,2,David,Alexander,NULL,Sales State Manager,23-03-1998,12-08-1946,jeffrey0@contoso.com,984-555-0185,S,Michael Alexander,984-555-0185,0,M,2,55,40,1,0,Production,23-03-1998,,Current,19980323,3/23/1998,3/23/1998
18,,Pieter,Uittenbogaard,NULL,Sales Group Manager,30-03-1998,09-11-1946,jo0@contoso.com,632-555-0129,S,Sairaj Uddin,632-555-0129,0,F,2,125,80,1,0,'Human Resources Contral,30-03-1998,,Current,19980330,3/30/1998,3/30/1998
19,4,Michelle,Alexander,NULL,Sales State Manager,11-04-1998,06-05-1946,doris0@contoso.com,328-555-0150,M,Mark Alexieff,328-555-0150,0,F,2,55,40,1,0,Production,11-04-1998,,Current,19980411,4/11/1998,4/11/1998
20,5,Rene,Valdes,NULL,Sales State Manager,18-04-1998,08-09-1946,john0@contoso.com,435-555-0113,M,Szabolcs Vajda,435-555-0113,0,M,2,55,40,1,0,Production,18-04-1998,,Current,19980418,4/18/1998,4/18/1998
21,1,Michael,Allen,NULL,Sales State Manager,29-04-1998,30-04-1946,diane0@contoso.com,202-555-0151,M,Gilead Almosnino,202-555-0151,0,F,2,55,40,1,0,Production,29-04-1998,,Current,19980429,4/29/1998,4/29/1998
22,2,Rohinton,Wadia,NULL,Sales State Manager,02-01-1999,15-06-1967,steven0@contoso.com,925-555-0114,M,Roland Wacker,925-555-0114,0,M,2,55,40,1,0,Production,02-01-1999,,Current,19990102,1/2/1999,1/2/1999
23,3,Luis,Alverca,NULL,Sales State Manager,02-01-1999,04-12-1972,peter0@contoso.com,913-555-0196,M,James Alvord,913-555-0196,1,M,2,55,40,1,0,Production Control,02-01-1999,,Current,19990102,1/2/1999,1/2/1999
24,9,Ming-Yang,Xie,NULL,Sales Store Manager,03-01-1999,14-10-1952,stuart0@contoso.com,413-555-0136,S,Stig Panduro,413-555-0136,0,M,2,25,40,1,0,Production,03-01-1999,,Current,19990103,1/3/1999,1/3/1999
25,10,Antonio,Alwan,NULL,Sales Store Manager,03-01-1999,18-11-1960,greg0@contoso.com,332-555-0150,S,Kamil Amireh,332-555-0150,0,M,2,25,40,1,0,Production,03-01-1999,,Current,19990103,1/3/1999,1/3/1999
26,1,David,Yalovsky,NULL,Sales State Manager,03-01-1999,03-12-1969,david1@contoso.com,166-555-0162,S,Shmuel Yair,166-555-0162,0,M,2,55,40,1,0,Production,03-01-1999,,Current,19990103,1/3/1999,1/3/1999
27,2,Oleg,Anashkin,NULL,Sales State Manager,04-01-1999,26-11-1973,zheng0@contoso.com,113-555-0173,S,Thomas Andersen,113-555-0173,0,M,2,55,40,1,0,Production,04-01-1999,,Current,19990104,1/4/1999,1/4/1999
28,3,Marko,Zajc,NULL,Sales State Manager,05-01-1999,04-02-1972,ivo0@contoso.com,115-555-0179,M,Eugene Zabokritski,115-555-0179,0,M,2,55,40,1,0,Production,05-01-1999,,Current,19990105,1/5/1999,1/5/1999
29,4,Christen,Anderson,NULL,Sales State Manager,05-01-1999,15-12-1970,paul0@contoso.com,147-555-0160,S,Nancy Anderson,147-555-0160,0,M,2,55,40,1,0,Production,05-01-1999,,Current,19990105,1/5/1999,1/5/1999
30,5,Mike,Nash,NULL,Sales State Manager,05-01-1999,28-04-1967,ashvini0@contoso.com,656-555-0119,S,Ranjith Narayanan,656-555-0119,0,M,2,55,40,1,0,Information Services,05-01-1999,,Current,19990105,1/5/1999,1/5/1999
31,1,Diogo,Andrade,NULL,Sales State Manager,06-01-1999,30-06-1976,kendall0@contoso.com,138-555-0128,M,Joe Andreshak,138-555-0128,0,M,2,55,40,1,0,Production,06-01-1999,,Current,19990106,1/6/1999,1/6/1999
32,2,Aneta,Olecka,NULL,Sales State Manager,07-01-1999,14-03-1966,paula0@contoso.com,523-555-0175,M,Preeda Ola,523-555-0175,1,F,2,55,40,1,0,Human Resources,07-01-1999,,Current,19990107,1/7/1999,1/7/1999
33,3,Ben,Andrews,NULL,Sales State Manager,07-01-1999,06-01-1979,alejandro0@contoso.com,668-555-0130,S,Lisa Andrews,668-555-0130,0,M,2,55,40,1,0,Production,07-01-1999,,Current,19990107,1/7/1999,1/7/1999
34,7,Jae,Pak,B.,Sales Store Manager,08-01-1999,26-09-1974,garrett0@contoso.com,609-555-0179,S,Wilson Pais,609-555-0179,0,M,2,25,40,1,0,Production,08-01-1999,,Current,19990108,1/8/1999,1/8/1999
35,10,Roy,Antebi,NULL,Sales Store Manager,08-01-1999,27-08-1973,jianshuo0@contoso.com,952-555-0178,S,Johnson Apacible,952-555-0178,0,M,1,25,38,1,0,Production,08-01-1999,,Current,19990108,1/8/1999,1/8/1999
36,6,Prithvi,Raj,NULL,Sales Store Manager,08-01-1999,20-03-1968,susan0@contoso.com,943-555-0196,S,Stuart Railson,943-555-0196,0,F,1,25,40,1,0,Shipping and Receiving,08-01-1999,,Current,19990108,1/8/1999,1/8/1999
37,6,Luca,Argentiero,NULL,Sales Store Manager,08-01-1999,19-04-1967,vamsi0@contoso.com,937-555-0137,M,NeKeta Argrow,937-555-0137,0,M,2,25,40,1,0,Shipping and Receiving,08-01-1999,,Current,19990108,1/8/1999,1/8/1999
38,6,Suriya,Sajjateerakool,NULL,Sales Store Manager,08-01-1999,27-02-1968,alice0@contoso.com,333-555-0173,M,Malvin Seale,333-555-0173,0,F,1,25,40,1,0,Production,08-01-1999,,Current,19990108,1/8/1999,1/8/1999
39,6,Zainal,Arifin,NULL,Sales Store Manager,09-01-1999,17-06-1980,simon0@contoso.com,963-555-0134,S,Ravital Artman,963-555-0134,0,M,1,25,40,1,0,Production,09-01-1999,,Current,19990109,1/9/1999,1/9/1999
40,6,Amy,Strande,NULL,Sales Store Manager,09-01-1999,09-03-1979,jinghao0@contoso.com,794-555-0159,S,Anne-Mette Stoltze,794-555-0159,0,M,2,25,40,1,0,Production,09-01-1999,,Current,19990109,1/9/1999,1/9/1999
41,6,Ties,Arts,NULL,Sales Store Manager,10-01-1999,19-12-1974,michael0@contoso.com,218-555-0126,S,Dimple Arya,218-555-0126,0,M,1,25,40,1,0,Production,10-01-1999,,Current,19990110,1/10/1999,1/10/1999
42,6,Daniel,Taylor,P.,Sales Store Manager,10-01-1999,17-05-1979,yvonne0@contoso.com,286-555-0189,M,Maurice Taylor,286-555-0189,0,F,1,25,40,1,0,Production,10-01-1999,,Current,19990110,1/10/1999,1/10/1999
43,6,Ronen,Ashkenazi,NULL,Sales Store Manager,10-01-1999,19-04-1966,peng0@contoso.com,164-555-0164,M,Roya Asbari,164-555-0164,1,M,2,25,40,1,0,Quality Assurance,10-01-1999,,Current,19990110,1/10/1999,1/10/1999
44,6,Hans-Walter,Untch,NULL,Sales Store Manager,12-01-1999,13-01-1966,jean0@contoso.com,685-555-0120,S,Sunil Uppal,685-555-0120,1,F,2,25,40,1,0,Information Services,12-01-1999,,Current,19990112,1/12/1999,1/12/1999
45,6,Chris,Ashton,NULL,Sales Store Manager,13-01-1999,27-12-1962,russell0@contoso.com,786-555-0144,M,Sameer Athalye,786-555-0144,0,M,1,25,40,1,0,Production,13-01-1999,,Current,19990113,1/13/1999,1/13/1999
46,6,Michael,Vanderhyde,NULL,Sales Store Manager,13-01-1999,19-10-1958,ascott0@contoso.com,992-555-0194,S,Esther Valle,992-555-0194,0,M,2,25,40,1,0,Production Control,13-01-1999,,Current,19990113,1/13/1999,1/13/1999
